step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.2932,0.6,3.08984,0.30952
2,3.64059,0.6,,
3,3.0956,0.66667,,
4,2.80701,0.66667,,
5,3.13194,0.6,,
6,3.40664,0.6,,
7,3.26054,0.63158,,
8,3.47927,0.57143,,
9,3.29138,0.6,,
10,2.87155,0.63158,,
11,3.37612,0.575,,
12,3.30216,0.63158,,
13,2.99325,0.63158,,
14,3.11048,0.57143,,
15,2.93975,0.6,,
16,2.80881,0.6,,
17,3.25274,0.57143,,
18,3.35913,0.6,,
19,3.64408,0.5641,,
20,2.91693,0.6,,
21,2.87123,0.63158,,
22,2.97468,0.57143,,
23,3.06971,0.57143,,
24,3.03369,0.6,,
25,3.03454,0.6,,
26,3.12964,0.57143,,
27,3.25507,0.58537,,
28,3.04737,0.57143,,
29,2.90119,0.575,,
30,2.89754,0.57143,,
31,3.2003,0.57143,,
32,3.0719,0.57143,,
33,2.53424,0.60526,,
34,2.67255,0.6,,
35,2.84905,0.575,,
36,2.9393,0.57143,,
37,2.46076,0.63158,,
38,2.17739,0.63889,,
39,2.23631,0.63158,,
40,2.94742,0.57143,,
41,2.77884,0.6,,
42,2.67421,0.6,,
43,2.81295,0.6,,
44,2.97169,0.54762,,
45,2.34807,0.63158,,
46,3.01278,0.54762,,
47,2.65201,0.6,,
48,2.77029,0.575,,
49,2.68072,0.575,,
50,2.31538,0.60526,,
51,2.26587,0.60526,,
52,3.1142,0.52381,,
53,2.67651,0.6,,
54,2.97803,0.54762,,
55,1.89812,0.66667,,
56,2.29188,0.57895,,
57,2.5601,0.575,,
58,3.05214,0.5,,
59,3.00193,0.57143,,
60,2.53538,0.6,,
61,2.65949,0.6,,
62,2.19608,0.60526,,
63,2.53282,0.6,,
64,2.92527,0.57143,,
65,2.3262,0.63158,,
66,2.62498,0.6,,
67,2.64916,0.6,,
68,2.89592,0.57143,,
69,2.57897,0.6,,
70,2.59515,0.6,,
71,2.93184,0.57143,,
72,2.89016,0.57143,,
73,1.88792,0.69444,,
74,2.87609,0.57143,,
75,2.98167,0.57143,,
76,1.85571,0.66667,,
77,1.9997,0.63889,,
78,2.24239,0.63158,,
79,2.58265,0.6,,
80,2.85265,0.57143,,
81,2.59395,0.6,,
82,2.56819,0.6,,
83,2.92577,0.57143,,
84,1.53307,0.70588,,
85,2.54664,0.6,,
86,2.59868,0.6,,
87,2.91969,0.59524,,
88,2.91345,0.57143,,
89,2.68978,0.6,,
90,2.59661,0.6,,
91,2.36251,0.60526,,
92,2.62805,0.6,,
93,2.30089,0.65789,,
94,2.62996,0.6,,
95,3.04036,0.57143,,
96,2.23593,0.63158,,
97,2.56878,0.6,,
98,2.59615,0.6,,
99,2.88353,0.57143,,
100,2.98419,0.57143,,
101,2.57733,0.6,2.60699,0.3
102,2.65092,0.6,,
103,2.96031,0.57143,,
104,2.83981,0.57143,,
105,2.30421,0.63158,,
106,2.90453,0.57143,,
107,2.31729,0.63158,,
108,1.94005,0.66667,,
109,2.2281,0.63158,,
110,2.98208,0.57143,,
111,2.53564,0.6,,
112,2.59326,0.6,,
113,2.90113,0.57143,,
114,2.52149,0.6,,
115,2.70059,0.625,,
116,3.04621,0.57143,,
117,2.60663,0.6,,
118,2.81757,0.57143,,
119,2.64372,0.6,,
120,2.22769,0.63158,,
121,2.87806,0.57143,,
122,1.9316,0.66667,,
123,2.58048,0.6,,
124,2.56004,0.6,,
125,3.02042,0.57143,,
126,2.56482,0.6,,
127,2.92138,0.57143,,
128,2.90466,0.57143,,
129,2.9008,0.57143,,
130,1.95655,0.66667,,
131,2.82164,0.57143,,
132,2.58955,0.6,,
133,2.26755,0.63158,,
134,2.58091,0.6,,
135,2.27942,0.63158,,
136,2.2416,0.63158,,
137,2.22234,0.63158,,
138,2.94337,0.57143,,
139,2.55115,0.6,,
140,2.94854,0.57143,,
141,2.64671,0.6,,
142,2.57651,0.6,,
143,2.55094,0.6,,
144,3.00568,0.54762,,
145,2.97546,0.57143,,
146,2.57674,0.6,,
147,2.62437,0.6,,
148,2.57929,0.6,,
149,0.94776,0.75,,
150,2.88543,0.57143,,
151,2.57291,0.6,,
152,2.5189,0.6,,
153,2.62134,0.6,,
154,2.20494,0.65789,,
155,2.59075,0.6,,
156,2.58399,0.6,,
157,2.80323,0.57143,,
158,2.64581,0.6,,
159,2.69541,0.6,,
160,3.02314,0.57143,,
161,2.52572,0.6,,
162,2.63401,0.6,,
163,2.22359,0.63158,,
164,2.59509,0.6,,
165,2.66067,0.6,,
166,2.61557,0.6,,
167,2.62504,0.6,,
168,2.53719,0.6,,
169,1.85218,0.66667,,
170,2.2202,0.63158,,
171,2.57074,0.6,,
172,2.23408,0.65789,,
173,1.78444,0.66667,,
174,2.22269,0.63158,,
175,2.64838,0.6,,
176,2.3409,0.65789,,
177,2.91893,0.54762,,
178,3.04698,0.52381,,
179,2.29198,0.63158,,
180,2.65186,0.6,,
181,2.6274,0.625,,
182,2.58522,0.6,,
183,2.18911,0.63158,,
184,1.86202,0.66667,,
185,2.60735,0.6,,
186,2.6162,0.6,,
187,2.6604,0.6,,
188,2.57789,0.625,,
189,2.55501,0.6,,
190,3.0471,0.57143,,
191,1.84033,0.66667,,
192,1.93957,0.66667,,
193,2.90033,0.57143,,
194,2.89621,0.57143,,
195,2.62842,0.6,,
196,2.61325,0.6,,
197,2.92491,0.57143,,
198,1.91835,0.66667,,
199,2.23287,0.63158,,
200,3.01592,0.57143,,
201,2.69338,0.6,2.21451,0.34211
202,2.2145,0.63158,,
203,2.17956,0.63158,,
204,2.91946,0.57143,,
205,1.84811,0.66667,,
206,2.59853,0.6,,
207,2.18745,0.63158,,
208,2.21935,0.63158,,
209,2.93521,0.57143,,
210,2.26821,0.63158,,
211,1.79517,0.66667,,
212,2.19248,0.63158,,
213,3.01996,0.57143,,
214,2.91377,0.57143,,
215,2.6293,0.6,,
216,1.76184,0.66667,,
217,2.61264,0.6,,
218,2.56354,0.6,,
219,3.07962,0.57143,,
220,2.92351,0.57143,,
221,2.24667,0.63158,,
222,1.89846,0.66667,,
223,2.32869,0.63158,,
224,2.2966,0.63158,,
225,2.54437,0.6,,
226,2.60066,0.6,,
227,2.89718,0.57143,,
228,2.97396,0.57143,,
229,2.85954,0.57143,,
230,2.16772,0.63158,,
231,2.19732,0.63158,,
232,2.24724,0.63158,,
233,2.24577,0.63158,,
234,2.55346,0.6,,
235,2.31677,0.63158,,
236,2.20314,0.65789,,
237,2.60294,0.6,,
238,2.56475,0.625,,
239,2.2151,0.63158,,
240,2.18914,0.63158,,
241,2.16057,0.60526,,
242,2.6812,0.525,,
