争论,主题
“婚姻”与时俱进。放弃旧思维，引入一种能包容所有联合关系的新形式 - 不仅仅是男女之间的关系。,我们应该放弃婚姻
一个多党制系统会太过混乱，而从广大公众中获得共识也会很困难。,我们应该采取多党制。
学校不应采用零容忍政策，因为情况往往不是非黑即白，而更为微妙。任何人都不应因判断错误而被彻底抛弃。,我们应该在学校实施零容忍的政策。
当涉及到他们的生活质量时，人们达到了极限，并且应该有权结束他们的痛苦。 这可以通过协助而很少或没有痛苦地完成，并且个人有能力说再见。,协助自杀应被视为犯罪。
完全同意，如果他们这样做的话，那将是件好事。,我们应该废除安全空间
600万人丧生，因此否认大屠杀应该被视为对他们记忆的一种罪行,否认大屠杀应该是一种犯罪行为
智力测试得分低对我们的孩子的动力和自尊心是一个打击，会降低动力并造成伤害。,智力测试带来的危害大于益处
智力测试得分低对人的自尊是一个打击，不仅会伤害他们的感受，也会影响社会的发展。,智力测试带来的伤害胜过好处。
禁止自然疗法创建了科学家和政府之间的团结阵线，可以共同打击自然疗法行业中反科学的说辞。,我们应该禁止自然疗法
对代孕母亲来说，禁止代孕将是灾难性的。代孕无论如何都会发生，因为存在这样的需求，但对于这一过程将没有健康和法律标准。,代孕应该被禁止
禁令是无效的，那些极其渴望拥有孩子的人，会想方设法去完成。要么非法地，要么在一些没有禁止的偏远国家。,代孕应该被禁止
禁令只会给性别平等带来问题,我们应该禁止妇女参与战斗
禁令只会加剧已经存在的趋势，即前往危险的海外外科医生处就诊。,我们应该禁止整形手术
禁令会传递一个强烈的信息，即需要改善商业实践。,发薪日贷款应该被禁止。
惩罚的一个基本原则是应当与犯罪成正比，因此，对于像故意杀人这样的罪行，死刑是唯一合法的回应。,我们应该废除死刑
出生缺陷或毁容伤害可能会极大地影响一个人的自尊心，在获得父母许可的情况下，未成年人应该有机会进行矫正。,我们应该禁止未成年人进行整形手术
封锁有时是在试图迫使外交手段发挥作用时唯一的非暴力选择。,加沙地带的封锁应该结束。
封锁是在双方都制造停滞的完美方式,加沙地带的封锁应该被结束
封锁是当你希望消除和平的任何机会，并使两国对彼此产生怀疑时所采取的行动。,加沙地带的封锁应该被解除
《神经元》杂志在线发表的一项加拿大研究得出结论，认为智商测试存在根本缺陷，因为其问题严重简化了人类大脑的能力。,智力测试带来更多的伤害而不是好处
一个集中式的刑事辩护系统意味着所有人都能获得同样标准的法律辩护，这意味着财富和权力不能被用来逃避正义。,公共辩护律师的使用应该是强制性的
一个孩子不能随便走进整形外科医生的诊所接受不必要的手术，家长同意和医疗规定旨在确保这些手术只在安全且有必要的情况下进行。,我们应该禁止未成年人进行整形手术
孩子是一份礼物，无论是哪种性别都应该倍加珍惜。,我们应该合法化性别选择
一个孩子在身体和心智上都还在成长，整形手术不应被考虑，直到他们成年并能够做出这些决定。,我们应该禁止未成年人进行整形手术
一个人类克隆所产生的孩子会有心理问题，因为他们无法做自己。,我们应禁止人类克隆
一个孩子的身体还在发育，孩子所看到的自身缺陷在长大成人后可能会得到解决。,我们应该禁止未成年人做整形手术
一个孩子的价值不应该根据他们的性别来评判。无论如何，他们都是人类。,我们应该将性别选择合法化
城市是人们得以靠近他们所需之物的最佳地方。,我们应该抵抗城市化。
一个集体主义文化培养了一些良好的价值观，比如善良、慷慨、关心他人的需求。,我们应该反对集体主义。
大学学位不再是确保你能找到工作的保证，甚至在现在的社会中也不再是讨好职业的必要条件。大多数学位正在变得过时，这是浪费钱。,我们应该对学生贷款进行补贴。
大部分人无法负担得起大学教育的费用。然而，几乎是要得到一份好工作的必备条件。通过帮助支付学生贷款，我们也在帮助我们的经济，提供更好的就业机会。,我们应该对学生贷款进行补贴
一家公司可以支付高管任何它想支付的薪水。如果这个人对公司有很大的价值，他的薪水无论有多高都是值得的。,我们应该限制高管的薪酬
如果执行薪酬受限，公司可以支付更高的工资给他们的员工。,我们应该限制高管的报酬
一家公司有权决定支付高管薪酬的金额。,我们应该限制高管的薪酬
一家公司应该能够自行决定向任何员工支付多少薪水,我们应该限制高管薪酬
一家公司应该有能力支付他们需要的任何费用来吸引合适的人才。他们只会支付市场所确定的一个人值得的价格。,我们应该限制高管薪酬
强制投票让每个人都贡献自己的意见。,我们应该引入强制投票。
不断增长的人口需要每年以恒定速度提供大量食物，这是较低密集农业无法提供的，因此我们必须至少保留一些工厂化技术。,我们应该禁止工厂养殖
消费者不知道天然疗法中真正含有什么，因为没有监管。,我们应该禁止自然疗法
一位遭受严重疤痕的孩子可能需要进行整形手术。,我们应该禁止未成年人进行整容手术
一个国家有权发展任何武器，以帮助其抵御敌人。,我们应该为废除核武器而奋斗
一个国家应有权利以任何其认为合适的方式来自卫，即使他们没有打算使用核武器。,我们应该为废除核武器而奋斗
一个人口多元化的国家最好由一个多党制来代表。,我们应该采取多党制。
一个国家在自由主义下会崩溃，因为没有对人民进行有效监督。,我们应该采纳自由主义。
一对夫妇并不需要通过结婚这种法律方式来证明彼此之间的爱。,我们应该放弃婚姻
一个犯罪分子如果犯下两次罪行，很可能会继续犯罪，所以三次罪行法会让他们更早地远离公众，这对大家都有好处。,我们应该废除三罢法。
一个罪犯在考虑到下一次犯罪可能意味着终身监禁时，可能会三思而后行。,我们应该废除三罢法。
在结束了某人的生命之后不久，可能会发现一种治愈或治疗方法。,协助自杀应视为犯罪行为.
被告有权为自己辩护,公共辩护律师的使用应该是强制性的
据说，一个民主自由的社会应该尊重身体自主权，因此我们应该有权利自由处理我们的器官，包括在合法的器官交易中使用它们,我们应该合法化器官交易
自然疗法的一个缺点是，当服用自然药物治疗疾病时，没有寻求合格医疗帮助。,我们应该禁止自然疗法
一个在孩子生活中扮演积极角色的父亲形象对孩子有积极影响,我们应该给予居家爸爸补贴。
一个父亲有权牺牲自己的工作时间陪伴新生儿，但这是一种生活方式选择，应该自行负担，而不是由纳税人财政支持。,我们应该补贴家庭主夫。
一些嘴硬的人不应该能改变多年来的法律,我们应该限制司法激进行为
一面旗帜只是一个象征，本身并没有实际含义。因此，烧毁它并不是什么大事。,我们应该禁止焚烧国旗
一面旗帜被大规模制造，并且除了它所用的材料之外，并没有增加的商业价值。,我们应该禁止烧国旗
一面旗帜仅仅是一个象征，如果禁止烧旗帜，那你也得禁止烧足球衬衫等物品。,我们应该禁止烧国旗
一面旗帜只是一块布，没有禁止燃烧布这一说法。,我们应该禁止烧国旗
一面旗帜只是一个象征，允许烧毁它作为愤怒的表达就是言论自由。,我们应该禁止烧国旗。
一面旗帜只是一块布料，实际上并不会伤害任何人。,我们应该禁止焚烧国旗
一面旗帜象征着一个国家，烧毁它意味着不尊重。,我们应该禁止烧国旗
一份正式的学校祈祷无法被正确地视为宗教自由行使，禁止学校祈祷完全与宗教自由行使相容。,我们应该禁止学校祈祷
