argument,topic,set,WA
"""marriage"" isn't keeping up with the times.  abandon the old thinking and bring something that incorporates all unions - not just those with a man and woman.",We should abandon marriage,train,0.846164614
.a multi-party system would be too confusing and getting a consensus from the general public would be difficult.,We should adopt a multi-party system,train,0.89127054
`people reach their limit when it comes to their quality of life and should be able to end their suffering.  this can be done with little or no suffering  by assistance and the person is able to say good bye.,Assisted suicide should be a criminal offence,train,0.730395151
"100% agree, should they do that, it would be a good thing",We should abolish safe spaces,train,0.236685682
A ban on naturopathy creates a cohesive front between scientists and the government that can combat the anti-science rhetoric of naturopathic industries.,We should ban naturopathy,train,0.753805285
"A ban would be disasterous for the surrogate mothers. Surrogacy will happenn anyway, because the need for it exists, but there will be no health and legal standards for the proccess.",Surrogacy should be banned,train,1.0
"A ban would be inffective, people who want a baby so badly, will find a way to go through with it. Either illegaly or in some foresaken country which doesn't ban it.",Surrogacy should be banned,train,0.467092243
a ban would only increase the already concerning trend to go to dangerous surgeons abroad,We should ban cosmetic surgery,train,0.981811806
"A basic principle of punishment is that it should be proportional to the crime, and therefore capital punishment is the only legitimate response to a crime such as first degree murder.",We should abolish capital punishment,train,1.0
"a birth defect or a disfiguring injury can highly impact someone's self esteem, with parental permission minors should have the opportunity to correct this.",We should ban cosmetic surgery for minors,train,0.951107043
"a child cannot just walk into a cosmetic surgeons and get unnecessary surgery, parental consent and medical regulations are in place to ensure this is only conducted safely and on worthy cases of deformity",We should ban cosmetic surgery for minors,train,0.901065136
a child is a gift and should be cherished for whatever sex they are,We should legalize sex selection,train,0.478142994
"a child is still growing, physically and mentally, cosmetic surgery should not be considered until they are an adult and able to make these decisions",We should ban cosmetic surgery for minors,train,1.0
a child's body is still developing and the faults that a child sees in themselves may resolve when they're an adult,We should ban cosmetic surgery for minors,train,1.0
a child's value should not be based upon their sex.  they are human no matter what.,We should legalize sex selection,train,0.65275696
a city is the best place for people to have what they need near by,We should fight urbanization,train,0.683461552
"A collectivist culture cultivates desirable values such as being kind, generous, and attentive to the needs of others.",We should oppose collectivism,train,0.885476553
a college degree is no longer a guarantee that you will have a job nor is it even required for decent careers anymore. it is a waste of money as most degrees are becoming obsolete.,We should subsidize student loans,train,0.82029628
"a college education is too expensive for most people to afford.  yet, it is almost a requirement to get a great job.  by helping to pay student loans we are also helping our economy and providing better jobs.",We should subsidize student loans,train,0.88595647
a company can pay an executive anything it wants.  if the person is a great value to his company his salary no matter how high is worth it.,We should limit executive compensation,train,0.910804935
a company can pay higher to their employees if executive compensation is limited,We should limit executive compensation,train,0.543411559
a company has the right to determine how much executive compensation that they can pay out.,We should limit executive compensation,train,0.629429628
a company should be able to decide on their own how much they want to pay any of their employees,We should limit executive compensation,train,0.881836684
a company should be able to pay whatever they need to to attract the right talent. they will only pay what the market determines the person is worth.,We should limit executive compensation,train,0.798560865
a compulsory vote we make everyone contribute their opinion.,We should introduce compulsory voting,train,0.639372799
a consumer doesn't know what's really in natural remedies since there is no regulation,We should ban naturopathy,train,1.0
a cosmetic procedure may be necessary for a horribly scarred child.,We should ban cosmetic surgery for minors,train,0.808176407
A country is entitled to develop any weapon that will help it defend itself against an enemy.,We should fight for the abolition of nuclear weapons,train,0.693320965
a country should have the right to defend itself in whatever way it sees fit even if they do not intend to use nuclear weapons.,We should fight for the abolition of nuclear weapons,train,0.867678521
A country with a diverse population is better represented by a multi-party system.,We should adopt a multi-party system,train,0.867024447
"A couple doesn't have to bind themselves legally to one another, by marrying, to prove their love.",We should abandon marriage,train,0.729708699
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should be a criminal offence,train,0.830767585
"a democratic and free society is said to respect bodily autonomy, therefore we should have the right to do what we want with our organs, including using them in a legal organ trade",We should legalize organ trade,train,1.0
a disadvantage of naturopathy is when natural medicines are taken to treat medical conditions without seeking qualified medical help,We should ban naturopathy,train,0.786455429
a father figure that takes an active role in their child's life has a positive effect on the child,We should subsidize stay-at-home dads,train,0.572805817
"a father is entitled to sacrifice his work for time with his new-born, but this is a lifestyle choice and should be self-funded, not financially supported by the tax payer.",We should subsidize stay-at-home dads,train,1.0
a few loud mouths should not be able to change years of law,We should limit judicial activism,train,0.402225161
"A flag is just a symbol and carries no real meaning in and of itself. Therefore, burning it is not a big deal.",We should prohibit flag burning,train,0.866672906
a flag is mass produced and has no added commercial value other than the material it is made with,We should prohibit flag burning,train,0.603874216
"a flag is no more than a symbol, if flag burning were banned you would have to ban the burning of football shirts, etc",We should prohibit flag burning,train,1.0
a flag is only a piece of cloth and there is no prohibition against burning cloth,We should prohibit flag burning,train,0.610950479
a flag is only a symbol and permitting burning it as an expression of anger is free speech,We should prohibit flag burning,train,0.83781112
a flag is only really a peace of cloth and doesn't actually hurt anybody.,We should prohibit flag burning,train,0.50805724
a flag symbolizes a country and by burning it you are showing disrespect,We should prohibit flag burning,train,0.958760476
a gender neutral language should be adopted so that conversations and language would be fair for everyone.,We should adopt gender-neutral language,train,1.0
a gender neutral language would improve gender equality,We should adopt gender-neutral language,train,0.723600547
"a gender-neutral language is what we should all learn to speak, it will help  dealing with racism and other social issues",We should adopt gender-neutral language,train,0.696053102
a gender-neutral language would take hundreds of years to adopt to and therefore should be abandoned,We should adopt gender-neutral language,train,0.717420971
A good portion of the telemarketers these days are not even human and this is illegal and Immoral,We should ban telemarketing,train,0.590752965
A government-funded Wikipedia would become a government-controlled Wikipedia.,We should subsidize Wikipedia,train,1.0
a group can function more effectively and with greater impact when working together as opposed to individually,We should oppose collectivism,train,0.649438545
a group of collective thoughts in line with one stance makes it greater.,We should oppose collectivism,train,0.515929983
a high turnout is important for a proper democratic mandate and the functioning of democracy,We should introduce compulsory voting,train,1.0
a human being at death can help others to live and through organ trade help their families live,We should legalize organ trade,train,0.776603164
a human rights activist spoke out that people should not be racially profiled because they belonged to a certain group or have different colors.,We should end racial profiling,train,0.467666058
a judge allowing their own personal feelings to become involved in a ruling cause said ruling to be unfair.,We should limit judicial activism,train,0.886716086
a judge is a credible voted in individual whose decisions should be trusted.,We should limit judicial activism,train,0.796514812
"a judge is merely supposed to interpret whether legal issues are constitutional -- judicial activism is effectively legislating from the bench, which exceeds what the judicial branch is allowed to do.",We should limit judicial activism,train,0.733259128
a judge is not god and therefore should not make all of the decisions.,We should limit judicial activism,train,0.645038339
a judge is suppose to be held in a high regard and should abide by the laws they took an oath to uphold without bias.,We should limit judicial activism,train,0.850495682
"a judge is suppose to uphold the rule of law, not alter it with their own opinions/views/beliefs.",We should limit judicial activism,train,1.0
a judge should be allowed to determine the constitutionality of an argument by using their own beliefs in part.,We should limit judicial activism,train,0.909260166
a judge shouldnt be able to show their personal views.,We should limit judicial activism,train,0.618884716
a judges opinion should not be relevant in a decision that they make as a judge,We should limit judicial activism,train,0.896425919
a judge's opinion should not take precedent over official laws.,We should limit judicial activism,train,1.0
a judge's role is not to flaunt laws and override guidance but to enforce it. judicial activism is a step too far,We should limit judicial activism,train,1.0
a jusge should be allowed to look at a crime and the situation the person was subjected to in regards to their acts as the punishment should be determined in regards to an individual situation.,We should limit judicial activism,train,0.702201807
a jusge should be allowed to make decisions based on certain situations and circumstances and make judgement using the information and issues presented rather than a strict generalized standard.,We should limit judicial activism,train,0.762386062
a jusge should follow the law rather than opnion as they are regarded as the highest power to judicate the laws they honor to serve and uphold.,We should limit judicial activism,train,0.9000733
a key advantage of a multi-party system is that voters have a choice of which political party they can choose to elect.,We should adopt a multi-party system,train,0.977855246
a lack of confidence due to appearance can have a crippling impact on poeple's lives and cosmetic surgery can help reduce this.,We should ban cosmetic surgery,train,0.943026071
a lack of control means there is nobody to step in if it goes wrong,We should stop the development of autonomous cars,train,0.670776465
a lack of voting leads to a situation were their isn't fair representation in parliament.,We should introduce compulsory voting,train,1.0
a language that does not include gender takes away from the personality of people.,We should adopt gender-neutral language,train,0.663691256
a larger group of people can often offer more value with power in numbers. there is more value to a large group with more ideas and more manpower.,We should oppose collectivism,train,0.744154915
a legal organ trade would boost the availability of transplant organs and save lives,We should legalize organ trade,train,0.91692616
"a legalised organ trade would dramatically improve the stock of transplant organs, saving lives.",We should legalize organ trade,train,1.0
"a legalised organ trade would increase the amount of stock available for medical procedures, and allow the procedure to become safer and more regulated.",We should legalize organ trade,train,1.0
"a legalised trade would disproportionately harm those from poorer economic backgrounds, legitimising the huge medical risks involved.",We should legalize organ trade,train,0.790330746
"A legalized market would exploit the poor who, as a result of financial problems, would be the ones most likely to sell their organs.",We should legalize organ trade,train,1.0
a lifestyle that does not hurt others should be legal,We should legalize polygamy,train,0.461355421
a lot more work and research could get done if we abandoned television.,We should abandon television,train,0.766087264
"a lot of gender neutral language assumes the male version of the word as the newly accepted neutral word. this doesn’t make it neutral, just assumes the male is best.",We should adopt gender-neutral language,train,0.56094296
"a lot of naturopaths suggest things without scientific backing, which may harm the patient.",We should ban naturopathy,train,1.0
a lot of the criminals fit a specific ethnicity so for security purposes and saving lives police should be allowed to racially profile in exchange for a little bit of suffering,We should end racial profiling,train,0.811590203
a lot of times the physical and emotional after effects of cosmetic surgery defeat the main purpose of getting the surgery.,We should ban cosmetic surgery,train,1.0
"a lot of times, people who homeschool aren't qualified to teach all the subjects needed for a high school  diploma.",Homeschooling should be banned,train,1.0
a lot of what they do is dangerous including opposing vaccines.,We should ban naturopathy,train,0.835787168
a lot of woman who prostitute themselves were sexually assaulted themselves so it may be better to have better options.,We should legalize prostitution,train,0.636189985
a low turn out means that the elected government does not represent the true wishes of the country. making voting compulsory would mean that an elected government had a true mandate.,We should introduce compulsory voting,train,1.0
a majority of students are unable to pay for the high cost of attending college,We should subsidize student loans,train,1.0
"a man or woman has the right to do what they wish with their body, and if they choose to sell it for sex, the government should not interfere.",We should legalize prostitution,train,1.0
a mandatory retirement age allows employers to be able to bring fresh talent into their workforce,We should end mandatory retirement,train,0.592856958
"A mandatory retirement age ensures that at least some positions open up in a given profession on a predictable basis, allowing younger workers to enter as older workers exit",We should end mandatory retirement,train,0.907162426
a mandatory retirement age helps employers regularly refresh the workforce with fresh talent,We should end mandatory retirement,train,0.517058292
a man's place is in the workforce to provide for his family.  why should anyone else have to pay for that guy's family just because he doesn't want to go to work?,We should subsidize stay-at-home dads,train,0.495053967
"a marriage is a piece of paper, nothing more.",We should abandon marriage,train,0.639853145
A miniature arms race between missile defense developers and missile developers creates an arms race that costs a massive amount to any state with either industry.,We should fight for the abolition of nuclear weapons,train,0.599073311
a minor does not have the mental and emotional development needed to make decisions that have long term effects,We should ban cosmetic surgery for minors,train,0.979063676
a minor is in no way responsible enough to make the decision of getting cosmetic surgery.  you see too many kids doing it because they want to look like a pop idol fad.  it is dangerous.,We should ban cosmetic surgery for minors,train,0.848459328
a minor is not old enough to make decisions on something that will change them forever,We should ban cosmetic surgery for minors,train,1.0
a minor is still growing so any cosmetic surgery may well result in a less than desirable result when they are fully grown.,We should ban cosmetic surgery for minors,train,0.853299985
a minor should be allowed to under go cosmetic surgery if it would improve how they see themselves and help their confidence.  such things would follow them into adulthood in a positive manner.,We should ban cosmetic surgery for minors,train,0.946942126
a minor should have control over their own body,We should ban cosmetic surgery for minors,train,0.561735508
a mistake could cause permanent disfigurement of a person,We should ban cosmetic surgery,train,0.897362826
"a modern society espousing gender equality has a duty to subsidize stay-at-home dads, just as it would support mothers - this both improves womens' career prospects, and fathers' emotional bonding.",We should subsidize stay-at-home dads,train,1.0
a mulit-party system is needed because there are more opinions than just democrat and repulblican,We should adopt a multi-party system,train,0.842355956
"a multi party system allows far better choices for the diverse population, meaning they can find someone to vote for that they truly believe in and participate in a democracy better",We should adopt a multi-party system,train,1.0
a multi party system allows for a larger group of qualified individuals,We should adopt a multi-party system,train,0.59626369
a multi party system creates chaos by giving too many choices to the people,We should adopt a multi-party system,train,0.903183785
a multi party system does not always help things. what is to say we get multiple bad choices and we have to end up choosing the lesser of two evils?,We should adopt a multi-party system,train,0.855504545
a multi party system ensures that everyone’s viewpoint can be represented and taken into account rather than only a minority.,We should adopt a multi-party system,train,1.0
a multi party system helps ensure all people are represented and that no one party or faction becomes too strong. multi party systems are more equitable at all levels and not all in favor of one group.,We should adopt a multi-party system,train,1.0
"a multi party system is too volatile, there's no stability and no consistency",We should adopt a multi-party system,train,0.956774768
A multi party system might be too confusing because there would be too many candidates with too many opinions and would be hard to vote.,We should adopt a multi-party system,train,0.858611343
a multi party system will help us choose the best person for the job.,We should adopt a multi-party system,train,0.920955683
a multi party system will lead to the rise of fringe groups that do not represent the will of the people.,We should adopt a multi-party system,train,0.875516265
a multi party system would bring many new & fresh ideas into the forefront,We should adopt a multi-party system,train,1.0
a multi party system would ensure more people get their viewpoint taken into account.,We should adopt a multi-party system,train,1.0
"a multi party system would represent all those that voted, not just those that voted for one party so a fairer system of governance would be in place.",We should adopt a multi-party system,train,0.969549714
a multi party system would spend more time arguing than resolving problems and wouldn’t be beneficial.,We should adopt a multi-party system,train,0.834587451
a multi party sytem is not in agreement with the constitution.,We should adopt a multi-party system,train,0.629491034
a multi-oart system allows for more options and candidates that are more in line with certain populations as not everyone has the same political views.,We should adopt a multi-party system,train,0.861524267
"a multi-oarty system can decrease the votes of a specific candidate, making the votes misappropriated.",We should adopt a multi-party system,train,0.226248768
a multi-party ensures that all people and voices are heard and represented.,We should adopt a multi-party system,train,0.972829744
a multi-party is essential to allow for democracy and prevent autocratic regimes coming to power.,We should adopt a multi-party system,train,0.882314075
a multi-party system allows a greater freedom of choice for voters to express their democratic right to vote for policies they would like to implimented.,We should adopt a multi-party system,train,0.88108555
a multi-party system allows a greater number of views to be heard.,We should adopt a multi-party system,train,1.0
a multi-party system allows a number of parties to enter government and is a benchmark of democracy.,We should adopt a multi-party system,train,1.0
a multi-party system allows all political parties to be represented for all people,We should adopt a multi-party system,train,1.0
a multi-party system allows for a broad range of ideas to be heard and implemented.,We should adopt a multi-party system,train,1.0
"a multi-party system allows for a much more diverse spectrum of options for an individual to find the right party to vote for, to really represent them",We should adopt a multi-party system,train,1.0
a multi-party system allows for diverse thinking and a larger choice for the people,We should adopt a multi-party system,train,1.0
A multi-party system allows for greater choice in whom to vote for.  It allows each citizen to vote for the party that best fits their beliefs and represents their ideology.,We should adopt a multi-party system,train,1.0
a multi-party system allows for greater freedom of choice and expression of opinion,We should adopt a multi-party system,train,0.84015815
"a multi-party system allows for greater freedom of choice, as a greater number of major parties would cover more ideological viewpoints.",We should adopt a multi-party system,train,1.0
a multi-party system allows for greater freedom of expression for the electorate and reduces the need to vote for who you disagree with the least,We should adopt a multi-party system,train,1.0
a multi-party system allows for more choices to address the views and issues of the people that multi candidates provide.,We should adopt a multi-party system,train,1.0
"a multi-party system allows for more ideas, more candidates, more voters turning out.",We should adopt a multi-party system,train,1.0
a multi-party system allows for more unqualified people to get into the race,We should adopt a multi-party system,train,1.0
a multi-party system allows for more views and ideals to be represented.,We should adopt a multi-party system,train,1.0
a multi-party system allows for the airing of more viewpoints and would require politicians to build coalitions and compromise in order to get things accomplished.,We should adopt a multi-party system,train,1.0
a multi-party system allows for the people to choose between sets of ideas they want to govern the country.,We should adopt a multi-party system,train,1.0
A multi-party system allows open and constructive criticism of the ruling government and prevents tyranny.,We should adopt a multi-party system,train,1.0
a multi-party system as this will ensure that all policies are agreed upon and not forced through by a small majority. it will also ensure that a wider section of beliefs and opinions is represented.,We should adopt a multi-party system,train,0.937324626
a multiparty system blurs the citizenship of a vision and model of country. we should not adopt a multiparty system because it would waste valuable time to agree,We should adopt a multi-party system,train,0.757334863
a multi-party system brings diversity to the political realm which helps people better decide where there vote should go,We should adopt a multi-party system,train,0.890813007
a multi-party system can bring continued bickering and endless in-fighting to a system of government that should be as simple as 'obey the law'.,We should adopt a multi-party system,train,0.75626388
a multi-party system can increase the views of the people and allow for more choices.,We should adopt a multi-party system,train,0.861389193
a multi-party system can open the door to getting poor leaders out of office and creating change.,We should adopt a multi-party system,train,0.881290551
a multi-party system can result of the election of someone who is supported by a small number of citizens,We should adopt a multi-party system,train,0.612015482
a multi-party system could add more complexity and create situations where issues become impossible to resolve.,We should adopt a multi-party system,train,0.944463172
a multi-party system could be very beneficial as it would allow for more opinions and more choices.,We should adopt a multi-party system,train,1.0
a multi-party system could cause too much in fighting between groups that should be cooperating.,We should adopt a multi-party system,train,1.0
a multiparty system could increase political bureaucracy,We should adopt a multi-party system,train,0.971598521
a multi-party system could lead to more situations where a majority is not reached. this means that it could be harder to push policies through.,We should adopt a multi-party system,train,0.78422583
a multi-party system could make it harder for decisions to be made as more opinions will complicate things.,We should adopt a multi-party system,train,0.876806409
a multi-party system could mean that it is more difficult to agree on any answers as  it is more likely that there will not be a majority on issues.,We should adopt a multi-party system,train,0.910027661
a multi-party system creates chaos.  more is not merrier in this type of case.,We should adopt a multi-party system,train,0.756093157
a multi-party system enables the people to have more of a say in what happens in their country.,We should adopt a multi-party system,train,0.875781695
a multi-party system encourages innovation and new ideas.,We should adopt a multi-party system,train,1.0
a multi-party system encourages parties with different political views to work together and discourages polarising adversarial politics,We should adopt a multi-party system,train,0.978030505
a multi-party system encourages weak and unstable coalition governments that are unable to pursue radical change,We should adopt a multi-party system,train,0.743776776
"a multi-party system ensures that voters have the chance to elect politicians that most closely align with their believes, lessening the chance that they have to compromise on things they feel are important.",We should adopt a multi-party system,train,0.704629766
a multi-party system is clearly good for democracy. allowing opposing groups to work through their differences and give choice to the population in government elections.,We should adopt a multi-party system,train,0.899417949
a multi-party system is enshrined in democracy. anyone should have his ideology and choose the party of his choice,We should adopt a multi-party system,train,0.782996179
a multi-party system is great in that it provides voters with many different candidates with different views and ideas,We should adopt a multi-party system,train,1.0
A multiparty system is less likely to cater to extremists who are now only represented by small extreme parties rather than larger parties.,We should adopt a multi-party system,train,0.783167638
A multiparty system is less likely to have gridlock because there are more parties that are willing to compromise.,We should adopt a multi-party system,train,1.0
a multiparty system is more representative of the will of the people,We should adopt a multi-party system,train,1.0
A multi-party system is more responsive to a change or shift in public opinion.,We should adopt a multi-party system,train,0.873679164
"a multi-party system is the fairest representation of all political viewpoints, and would increase the electorate's engagement with politics in general.",We should adopt a multi-party system,train,1.0
"a multi-party system is the most democratic system available, since it gives recognition to a broader canvas of viewpoints.",We should adopt a multi-party system,train,0.885611737
a multi-party system lacks stability and costs huge amounts to run as many parties all campaign for their voice to be heard,We should adopt a multi-party system,train,0.876513296
a multi-party system leads to disorganization and chaos.,We should adopt a multi-party system,train,0.937835138
a multi-party system leads to too much division and there may never be an overall consensus,We should adopt a multi-party system,train,0.953416314
a multi-party system leads to unstable goverment and does not reflect the will of the people accurately,We should adopt a multi-party system,train,0.887521165
a multi-party system lets many views on important topics to be heard,We should adopt a multi-party system,train,1.0
a multi-party system makes it much more difficult to collaborate on ideas.,We should adopt a multi-party system,train,0.736990795
a multi-party system makes sure more ideas are included.,We should adopt a multi-party system,train,0.869150183
a multi-party system makes sure that one political party doesn't hold all the power.,We should adopt a multi-party system,train,1.0
a multi-party system maximizes choice which would encourage greater voter participation.,We should adopt a multi-party system,train,1.0
a multi-party system means that more opinions will be heard and people will get a greater choice of who to vote for.,We should adopt a multi-party system,train,0.909258961
a multi-party system might allow for more and more diverse candidates to come to the forefront of each election.,We should adopt a multi-party system,train,1.0
a multi-party system muddies the waters with too many ideas,We should adopt a multi-party system,train,0.477760689
a multi-party system never works because at the end of the day each party is out for themselves and don't work in the best interest of the people being represented.,We should adopt a multi-party system,train,0.95171883
"a multi-party system offers too many options and decreases the election voting for one candidate, spreading out the votes over too many options.",We should adopt a multi-party system,train,0.886849138
a multi-party system only makes it harder to choose a presidential candidate,We should adopt a multi-party system,train,0.60916301
A multi-party system prevents the leadership of a single party from setting policy without challenge.,We should adopt a multi-party system,train,1.0
a multi-party system provides more choices to insure that the people have representation for their various beliefs beyond a simple two or single-party system.,We should adopt a multi-party system,train,1.0
A multiparty system reduces tactical voting (voting for a particular person or political party in order to prevent someone else from winning).,We should adopt a multi-party system,train,0.958045716
a multi-party system results in so many different platforms that there is no cohesion and nothing gets accomplished.,We should adopt a multi-party system,train,0.742411176
"a multi-party system spreads votes out to thin,so as one leader can be victorious even though they did not receive the majority of the peoples' votes.",We should adopt a multi-party system,train,0.578222849
a multi-party system weakens speed of decision making and ensures no progress is made so we should not adopt it.,We should adopt a multi-party system,train,0.916078897
a multi-party system will allow for more exchange of ideas and better development of our government.,We should adopt a multi-party system,train,1.0
a multi-party system will create confusion and deadlock.,We should adopt a multi-party system,train,0.687066512
"a multi-party system will give more people with differing ideas, an opportunity to run for office",We should adopt a multi-party system,train,0.830371061
a multi-party system will help to ensure that more political agendas will be given the chance to represent the people,We should adopt a multi-party system,train,0.856328287
a multi-party system will just cause more arguments and political strongholds in our government.,We should adopt a multi-party system,train,0.779476742
a multi-party system will lack real leadership and will mean that policies often end up being diluted or not passed at all as a majority can not be reached.,We should adopt a multi-party system,train,0.862559969
a multi-party system will lead to a better diversity of viewpoints in government.,We should adopt a multi-party system,train,1.0
A multi-party system will make it so that everyone in the country is represented well.,We should adopt a multi-party system,train,1.0
