论点,主题,set,WA
"婚姻 跟不上时代。抛弃旧观念，提出一些能包容各种结合关系的新想法 - 不仅仅是男女之间的关系。""",我们应该放弃婚姻,train,0.846164614
多党制将会过于混乱，很难得到广大公众的共识。,我们应该采用多党制。,train,0.89127054
人们在生活质量达到极限时，应该有权结束他们的痛苦。可以通过协助来实现这一点，几乎没有痛苦，让这个人能够说再见。,协助自杀应该是一种刑事犯罪。,train,0.730395151
完全同意，如果他们这样做的话，那将是一件好事。,我们应该废除安全空间。,train,0.236685682
禁止自然疗法会在科学家和政府之间形成一个紧密团结的阵线，可以抵制自然疗法产业的反科学言论。,我们应该禁止自然疗法。,train,0.753805285
对代孕妈妈来说，禁令将是灾难性的。代孕将不可避免地发生，因为存在这样的需求，但却没有相应的健康和法律标准来规范这个过程。,代孕应该被禁止。,train,1.0
禁止是无效的，那些非常想要一个孩子的人，会想办法实现目标。无论是非法途径还是在一些不禁止的国家。,代孕应该被禁止。,train,0.467092243
禁令只会加剧去国外危险外科医生的趋势，这已经很令人担忧了。,我们应该禁止整形手术。,train,0.981811806
惩罚的基本原则是应该与罪行成比例，因此对于一级谋杀这样的罪行，唯一合法的回应是死刑。,我们应该废除死刑。,train,1.0
先天缺陷或毁容性伤害可能会严重影响一个人的自尊心，在父母同意的情况下，未成年人应该有机会进行矫正。,我们应该禁止未成年人进行整形手术。,train,0.951107043
儿童不能随意走进整形外科接受不必要的手术，必须有父母同意和医疗监管，以确保只有在有残疾需要的情况下才能安全进行手术。,我们应该禁止未成年人进行整形手术,train,0.901065136
每个孩子都是一份礼物，无论他们是什么性别，都应该被珍惜。,我们应该合法化性别选择。,train,0.478142994
一个孩子在身体和心理上都还在成长，不应该考虑进行整形手术，直到他们成年并能够做出这些决定。,我们应该禁止未成年人进行整容手术。,train,1.0
一个孩子的身体还在发育，孩子自己所看到的缺点可能会在长大成人时得到改善。,我们应该禁止未成年人进行整形手术。,train,1.0
一个孩子的价值不应该基于他们的性别来衡量，无论如何他们都是人类。,我们应该合法化性别选择。,train,0.65275696
城市是人们获得他们所需要的东西的最佳地点。,我们应该反对城市化。,train,0.683461552
集体主义文化培养了诸如善良、慷慨和关注他人需求等可贵的价值观。,我们应该反对集体主义。,train,0.885476553
大学学位不再是你能找到工作的保证，甚至在现在的时代，对于良好的职业来说也不再是必需的。大多数学位正变得过时，成为了浪费金钱。,我们应该对学生贷款提供补贴,train,0.82029628
大多数人难以承担高昂的大学教育费用，然而几乎是获得好工作的必要条件。通过帮助偿还学生贷款，我们也在帮助经济发展并提供更好的工作。,我们应该资助学生贷款,train,0.88595647
一家公司可以支付高管任何它想支付的薪水。如果这个人对公司非常有价值，无论薪水多高都是值得的。,我们应该限制高管薪酬。,train,0.910804935
如果执行薪酬受限，公司便可以向其员工支付更高的薪酬。,我们应限制高管薪酬,train,0.543411559
一家公司有权决定他们可以支付的高管薪酬数额。,我们应该限制高管薪酬。,train,0.629429628
公司应该有权自行决定他们愿意支付任何员工的工资水平。,我们应该限制高管薪酬。,train,0.881836684
一家公司应该能够支付他们需要吸引正确人才的任何费用。他们只会支付市场认定的该人的价值。,我们应该限制高管的薪酬。,train,0.798560865
强制投票让每个人都贡献自己的意见。,我们应该引入强制投票。,train,0.639372799
消费者并不清楚天然疗法中究竟含有什么，因为没有监管。,我们应该禁止自然疗法。,train,1.0
一个化妆手术可能对于一位有严重疤痕的孩子来说是必要的。,我们应禁止未成年人进行整形手术。,train,0.808176407
一个国家有权发展任何可以帮助其自卫的武器。,我们应该为废除核武器而奋斗,train,0.693320965
一个国家应该有权利以任何看适当的方式来自卫，即使他们不打算使用核武器。,我们应该为废除核武器而奋斗,train,0.867678521
一个人口多样化的国家更适合采用多党制。,我们应该采取多党制。,train,0.867024447
一对夫妻并不必通过结婚在法律上彼此约束来证明他们的爱。,我们应该放弃婚姻。,train,0.729708699
在不必要地结束某人的生命后不久，可能会发现一种治愈或治疗方法。,辅助自杀应该是一种犯罪行为,train,0.830767585
据说，一个民主自由的社会应该尊重身体自主权，因此我们应该有权利自由处理我们的器官，包括参与合法的器官交易。,我们应该合法化器官交易,train,1.0
自然疗法的一个缺点是当人们在没有寻求合格医疗帮助的情况下，使用天然药物治疗医疗状况。,我们应该禁止自然疗法。,train,0.786455429
在孩子的生活中扮演积极角色的父亲形象对孩子有积极的影响。,我们应该对选择在家照顾孩子的父亲进行补贴。,train,0.572805817
父亲有权为了和新生儿在一起的时间而牺牲自己的工作，但这是一种生活选择，应该由自己承担费用，而不是由纳税人财政支持。,我们应该给留在家照顾孩子的爸爸提供补贴。,train,1.0
少数吵闹的人不应该改变多年来的法律。,我们应该限制司法激进行为,train,0.402225161
一面旗帜只是一个象征，本身并没有实际含义。因此，烧掉它并不是什么大事。,我们应该禁止烧国旗。,train,0.866672906
一面旗帜是批量生产的，除了制作材料外没有额外的商业价值。,我们应该禁止烧国旗。,train,0.603874216
一面旗帜不过是一个象征，如果禁止烧旗帜，就必须禁止烧足球衫等。,我们应该禁止烧国旗。,train,1.0
一面旗帜只是一块布，没有禁止燃烧布的规定。,我们应该禁止烧国旗。,train,0.610950479
一面旗帜只是一个象征，允许燃烧它作为愤怒的表达是言论自由。,我们应该禁止烧国旗。,train,0.83781112
一面旗帜实际上只是一块布料，并不会伤害任何人。,我们应该禁止烧国旗,train,0.50805724
一面旗帜象征着一个国家，烧毁它意味着对国家的不尊重。,我们应该禁止烧国旗。,train,0.958760476
应该采用一种中性语言，这样对话和语言对每个人都公平。,我们应该采用性别中立的语言。,train,1.0
性别中立的语言会促进性别平等。,我们应该采用性别中立的语言。,train,0.723600547
我们都应该学会说一种性别中立的语言，这将有助于应对种族主义和其他社会问题。,我们应采用性别中立的语言,train,0.696053102
一种性别中立的语言需要数百年的时间才能被接受，因此应该放弃。,我们应该采用性别中立的语言。,train,0.717420971
如今许多电话推销员甚至都不是人类，这是非法和不道德的。,我们应该禁止电话营销。,train,0.590752965
一旦由政府资助，维基百科就会变成由政府控制的维基百科。,我们应该给维基百科提供资助。,train,1.0
团队一起合作比独自工作更有效，影响也更大。,我们应该反对集体主义。,train,0.649438545
一群持相同立场的集体思想会变得更强大。,我们应该反对集体主义。,train,0.515929983
高投票率对于一个正当的民主授权和民主体制的运作至关重要。,我们应该引入强制投票制度,train,1.0
一个临终的人可以通过器官捐赠帮助他人活下去，并通过器官移植帮助他们的家人延续生命。,我们应该合法化器官交易。,train,0.776603164
