1,论点,主题
2,"""婚姻"" 跟不上时代。抛弃旧观念，提出一些能包容各种结合关系的新想法 - 不仅仅是男女之间的关系。",我们应该放弃婚姻
3,多党制将会过于混乱，很难得到广大公众的共识。,我们应该采用多党制。
4,学校不应采用零容忍政策，因为情况通常并不是非黑即白，更为微妙。没有人应因为一次判断错误而被否定。,我们应该在学校实施零容忍政策。
5,人们在生活质量达到极限时，应该有权结束他们的痛苦。可以通过协助来实现这一点，几乎没有痛苦，让这个人能够说再见。,协助自杀应该是一种刑事犯罪。
6,完全同意，如果他们这样做的话，那将是一件好事。,我们应该废除安全空间。
7,有600万人丧生，因此否认大屠杀应该是对他们记忆的一种罪行。,否认大屠杀应该是一种犯罪行为。
8,智力测试得分不佳会打击我们孩子的动力和自尊心，降低动机并造成伤害。,智力测试带来的伤害大于益处
9,智力测试中得到低分对人们的自尊心是一个打击，不仅伤害了他们的感受，也影响了社会的发展。,智力测试带来的危害大于好处。
10,禁止自然疗法会在科学家和政府之间形成一个紧密团结的阵线，可以抵制自然疗法产业的反科学言论。,我们应该禁止自然疗法。
11,对代孕妈妈来说，禁令将是灾难性的。代孕将不可避免地发生，因为存在这样的需求，但却没有相应的健康和法律标准来规范这个过程。,代孕应该被禁止。
12,禁止是无效的，那些非常想要一个孩子的人，会想办法实现目标。无论是非法途径还是在一些不禁止的国家。,代孕应该被禁止。
13,禁令只会给性别平等带来问题。,我们应该禁止女性参与作战。
14,禁令只会加剧去国外危险外科医生的趋势，这已经很令人担忧了。,我们应该禁止整形手术。
15,禁令将传递一个强烈的信息，表明需要更好的商业实践。,应该禁止发放发薪日贷款
16,惩罚的基本原则是应该与罪行成比例，因此对于一级谋杀这样的罪行，唯一合法的回应是死刑。,我们应该废除死刑。
17,先天缺陷或毁容性伤害可能会严重影响一个人的自尊心，在父母同意的情况下，未成年人应该有机会进行矫正。,我们应该禁止未成年人进行整形手术。
18,在尝试迫使外交手段时，封锁有时是唯一的非暴力选择。,加沙地带的封锁应该结束。
19,封锁是在双方都陷入停滞的完美方式,加沙地带的封锁应该结束。
20,封锁就是当你想消除和平机会，并让双方国家对彼此产生怀疑时所做的行为。,加沙地带的封锁应该结束。
21,一项发表在《神经元》杂志在线版的加拿大研究得出结论，智商测试基本上存在缺陷，因为其问题严重简化了人脑的能力。,智力测试带来的负面影响大于正面影响。
22,一个集中的刑事辩护体系意味着所有人都将获得相同水平的法律辩护，这意味着财富和权力不能被用来逃避正义。,公共辩护人的使用应该是强制性的。
23,儿童不能随意走进整形外科接受不必要的手术，必须有父母同意和医疗监管，以确保只有在有残疾需要的情况下才能安全进行手术。,我们应该禁止未成年人进行整形手术
24,每个孩子都是一份礼物，无论他们是什么性别，都应该被珍惜。,我们应该合法化性别选择。
25,一个孩子在身体和心理上都还在成长，不应该考虑进行整形手术，直到他们成年并能够做出这些决定。,我们应该禁止未成年人进行整容手术。
26,克隆人类的孩子会面临心理问题，因为他们无法成为独立的个体。,我们应该禁止人类克隆。
27,一个孩子的身体还在发育，孩子自己所看到的缺点可能会在长大成人时得到改善。,我们应该禁止未成年人进行整形手术。
28,一个孩子的价值不应该基于他们的性别来衡量，无论如何他们都是人类。,我们应该合法化性别选择。
29,城市是人们获得他们所需要的东西的最佳地点。,我们应该反对城市化。
30,集体主义文化培养了诸如善良、慷慨和关注他人需求等可贵的价值观。,我们应该反对集体主义。
31,大学学位不再是你能找到工作的保证，甚至在现在的时代，对于良好的职业来说也不再是必需的。大多数学位正变得过时，成为了浪费金钱。,我们应该对学生贷款提供补贴
32,大多数人难以承担高昂的大学教育费用，然而几乎是获得好工作的必要条件。通过帮助偿还学生贷款，我们也在帮助经济发展并提供更好的工作。,我们应该资助学生贷款
33,一家公司可以支付高管任何它想支付的薪水。如果这个人对公司非常有价值，无论薪水多高都是值得的。,我们应该限制高管薪酬。
34,如果执行薪酬受限，公司便可以向其员工支付更高的薪酬。,我们应限制高管薪酬
35,一家公司有权决定他们可以支付的高管薪酬数额。,我们应该限制高管薪酬。
36,公司应该有权自行决定他们愿意支付任何员工的工资水平。,我们应该限制高管薪酬。
37,一家公司应该能够支付他们需要吸引正确人才的任何费用。他们只会支付市场认定的该人的价值。,我们应该限制高管的薪酬。
38,强制投票让每个人都贡献自己的意见。,我们应该引入强制投票。
39,人口不断增长需要大量食物，全年需要以恒定的速度生产，较少密集的农业无法提供这样的需求，因此我们必须至少保留一些工厂化的技术。,我们应该禁止工厂养殖。
40,消费者并不清楚天然疗法中究竟含有什么，因为没有监管。,我们应该禁止自然疗法。
41,一个化妆手术可能对于一位有严重疤痕的孩子来说是必要的。,我们应禁止未成年人进行整形手术。
42,一个国家有权发展任何可以帮助其自卫的武器。,我们应该为废除核武器而奋斗
